conrinc,gunlaw,god,age,gender1
10532.5,0,6,23,2
0,1,3,77,1
0,0,6,30,1
1532,1,6,27,1
1532,1,6,49,1
0,2,6,36,1
0,2,6,67,1
0,1,4,70,1
10532.5,1,6,43,1
10532.5,1,6,58,2
16277.5,0,6,35,2
8617.5,0,6,27,2
2681,2,6,32,2
18192.5,1,6,40,2
383,0,6,54,2
0,1,6,73,2
0,2,6,55,2
5745,0,6,23,2
18192.5,2,6,21,2
0,0,6,20,2
10532.5,1,5,47,2
42130,1,6,62,1
0,0,1,31,1
0,0,6,64,1
0,0,6,52,2
0,1,5,83,1
16277.5,1,3,56,1
42130,0,6,30,2
18192.5,1,6,61,1
0,0,6,75,1
0,1,2,73,1
0,2,2,68,1
0,1,6,69,1
16277.5,0,6,52,1
0,1,6,59,2
0,0,6,39,1
0,1,6,57,2
0,2,6,63,2
0,1,6,29,1
0,0,6,19,1
14362.5,1,5,30,1
18192.5,1,6,38,2
0,0,6,28,1
0,0,6,41,2
34470,1,6,56,1
0,0,5,24,1
0,8,6,58,2
0,8,6,28,1
0,2,6,55,1
24895,1,6,41,2
18192.5,1,5,29,1
0,1,6,65,1
0,1,6,64,2
34470,1,5,41,2
383,1,6,39,2
34470,1,5,29,1
34470,1,6,54,2
42130,1,3,47,2
16277.5,1,6,44,1
383,0,6,24,2
8617.5,0,8,33,1
0,1,2,60,1
324512.2921,1,3,60,1
107240,0,6,53,1
4213,1,3,19,1
0,1,6,46,2
0,1,9,84,1
12447.5,0,6,37,1
0,2,3,35,2
0,2,6,60,2
16277.5,1,6,46,2
12447.5,0,6,26,1
8617.5,8,6,31,1
0,1,5,67,2
0,1,6,67,1
0,2,5,88,1
42130,0,5,40,1
0,1,6,70,2
0,0,6,44,1
42130,1,6,39,1
0,2,3,65,1
8617.5,1,6,33,2
0,0,6,63,1
24895,2,6,31,1
5745,1,6,23,2
0,1,6,71,2
21065,0,5,32,1
34470,1,6,52,2
0,1,6,77,2
63195,0,6,63,1
34470,0,8,42,1
0,1,5,52,1
0,1,6,70,1
4979,8,5,23,2
0,2,6,84,1
24895,1,5,30,1
0,0,9,59,1
0,0,6,61,1
8617.5,1,6,37,1
51705,1,5,41,1
0,0,6,55,2
0,1,3,31,2
383,0,3,21,1
18192.5,1,5,28,2
28725,2,6,35,1
324512.2921,0,6,52,1
4979,0,6,63,1
8617.5,1,6,46,2
28725,0,6,64,1
0,1,6,29,1
63195,0,6,41,1
0,1,6,60,2
0,0,6,38,1
0,2,6,81,2
0,0,5,52,2
0,9,6,62,1
24895,0,6,46,1
3447,2,5,27,1
63195,1,6,43,1
14362.5,0,6,48,2
0,1,6,37,2
0,2,5,55,1
